,biomass_MW,coal_MW,gas_MW,geothermal_MW,hydro_MW,oil_MW,other_MW,other_renewable_MW,solar_MW,waste_MW,wind_MW,carbon_intensity_gCO2_kWh
2026-08-31 16:00:00+00:00,4262.940296666667,10365.777083333332,3592.0508200000004,19.24709,471.1491666666668,501.13902,137.17643,71.451,7185.211333333333,885.9164999999999,29823.98381666667,244.59622309192423
2026-08-31 17:00:00+00:00,4348.6466550000005,11105.328645,4617.42072,19.24709,2677.2561,476.3686575,137.17643,71.451,1652.7085,884.989425,28550.4573075,274.57045987618784
2026-08-31 18:00:00+00:00,4353.1520550000005,11569.2234725,5318.473345,19.24709,4637.369925,474.8132925,137.17643,71.451,19.958,884.0289,28312.423745,281.4866212722363
2026-08-31 19:00:00+00:00,4252.39428,11409.976105000002,5864.7611575,19.24709,2973.2267500000003,387.9061825,137.17643,71.451,0.23025,885.314975,28407.85139,288.47444216469756
2026-08-31 20:00:00+00:00,4109.11973,11592.7587275,5983.6833025,19.24709,997.42655,387.2585,137.17643,71.451,0.17975,888.611,28232.828842500003,302.15065667014983
2026-08-31 21:00:00+00:00,3990.246405,11801.2010425,5832.8272975,19.24709,443.771675,387.01433,137.17643,71.451,0.1395,888.707675,28504.060445,305.603749443027
2026-08-31 22:00:00+00:00,3893.414965,11557.68444,5229.1990375000005,19.00702,36.6256,388.696915,135.46755,71.451,0.0005,857.2357,29175.387235,298.79209158591885
2026-08-31 23:00:00+00:00,3908.090915,11734.8742675,5883.217705,19.00702,49.64795,388.6521125,135.46755,71.451,0.0,867.92815,28111.0313875,309.33963047355724
2026-09-01 00:00:00+00:00,3886.72324,11838.8182425,6021.4011550000005,19.00702,41.80925,388.4886675,135.46755,71.451,0.0005,868.13735,26851.5088125,318.638670748751
2026-09-01 01:00:00+00:00,3873.59894,11918.9914025,5938.110665,19.00702,53.469750000000005,388.387,135.46755,71.451,0.0005,881.4666,25179.2421475,330.03412456635425
