,biomass_MW,coal_MW,gas_MW,geothermal_MW,hydro_MW,oil_MW,other_MW,other_renewable_MW,solar_MW,waste_MW,wind_MW,carbon_intensity_gCO2_kWh,target_1h,target_2h,target_3h,target_4h,target_5h,target_6h,target_7h,target_8h,target_9h,target_10h,target_11h,target_12h,target_13h,target_14h,target_15h,target_16h,target_17h,target_18h,target_19h,target_20h,target_21h,target_22h,target_23h,target_24h,hour,day_of_week,month,hour_sin,hour_cos,week_sin,week_cos,month_sin,month_cos,is_weekend,lag_0h,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_std_24h
2026-09-22 04:00:00+00:00,3924.313615,17266.47097,8066.476295,19.00702,2233.5733,296.345,204.7283,71.451,1.9425,814.4775500000001,6205.33862,552.3844883566406,511.2567028112189,449.9478491430429,381.0337185700609,314.9964105344489,281.9810462538161,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,4,1,9,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,552.3844883566406,568.3351228957714,250.35485753583143,505.6834062274398,332.486717065291,140.06019134945532
2026-09-22 05:00:00+00:00,4046.156365,17071.219077499998,8115.49168,19.00702,4499.81225,296.31,211.29655,71.451,1735.13525,815.359625,5375.546825,511.2567028112189,449.9478491430429,381.0337185700609,314.9964105344489,281.9810462538161,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,5,1,9,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,511.2567028112189,552.3844883566406,256.8486365195517,453.4004026177011,345.071285016158,145.8105069686345
2026-09-22 06:00:00+00:00,4029.97934,16461.532175,8374.969965,19.00702,3363.26465,296.566865,210.58705,71.451,10479.454,811.46365,3716.3753925,449.9478491430429,381.0337185700609,314.9964105344489,281.9810462538161,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,6,1,9,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,449.9478491430429,511.2567028112189,250.4803785299424,394.9080890938626,355.67162111164413,148.3435696424708
2026-09-22 07:00:00+00:00,3892.10634,15568.9991975,7658.3357075,19.00702,1044.526825,433.2486275,187.0928,71.451,23220.68125,809.742225,2045.4137975,381.0337185700609,314.9964105344489,281.9810462538161,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,7,1,9,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,381.0337185700609,449.9478491430429,249.3322607914919,317.59313136383975,363.98276572052333,147.78049875923304
2026-09-22 08:00:00+00:00,3755.776215,14030.37278,6108.624485,19.00702,213.662525,463.6637325,160.0003,71.451,33838.28275,801.4915,1553.7463775,314.9964105344489,281.9810462538161,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,8,1,9,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,314.9964105344489,381.0337185700609,215.08964725497,242.30037346913943,369.470326461297,145.76962477686487
2026-09-22 09:00:00+00:00,3660.714515,13201.25638,5678.6067825,19.00702,53.47825,303.5889075,157.32155,71.451,39525.82275,802.884275,1634.9773725,281.9810462538161,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,9,1,9,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,281.9810462538161,314.9964105344489,187.69483756516485,187.9148768521169,373.6331082646086,142.56045918387755
2026-09-22 10:00:00+00:00,3556.69704,12897.085765,5392.343365,19.00702,71.2185,296.0783325,157.30880000000002,71.451,42967.302500000005,807.508125,1716.1546825,266.0050969470628,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,10,1,9,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,266.0050969470628,281.9810462538161,168.21377671161628,173.72492911168223,377.56170029330247,138.45369527858242
2026-09-22 11:00:00+00:00,3529.73304,12290.6036275,5357.4893225,19.00702,69.81895,296.01345,157.31005,71.451,43719.952,810.9101499999999,1742.6078,257.7487217369439,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,11,1,9,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,257.7487217369439,266.0050969470628,160.14556928606368,171.34498145806904,381.63633863644606,133.37046317843613
2026-09-22 12:00:00+00:00,3529.66029,12292.28765,5368.5797225,19.00702,27.298575,295.9766675,157.34879999999998,71.451,42234.541,811.33145,1902.97284,262.10045361395737,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,12,1,9,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,262.10045361395737,257.7487217369439,162.0453994248724,175.50731430445663,385.70313665523275,127.6901308229695
2026-09-22 13:00:00+00:00,3572.09749,12665.1343,5494.2093825,19.00702,28.117425,296.01,159.3913,71.451,36976.02125,801.146575,1811.3228625,285.1001422116845,344.8450220912044,440.0626265244843,524.0060565936096,556.8740099531733,559.9518706500934,579.7900470479261,610.6356656619071,636.1816239183387,648.5855610609977,654.9393841228054,656.6386918751377,653.5061527070069,650.0805141388547,638.3007644375507,585.5816913713276,519.0829900604463,435.5075929660765,339.7373696318164,271.23366831593216,222.9379434914668,187.52934069850065,180.00596725472812,186.79555284224335,232.95757617230265,13,1,9,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,285.1001422116845,262.10045361395737,170.93850961654292,197.22727484311156,389.87209724644464,121.5564662087459
