timestamp,horizon,predicted_CI
2026-09-18 11:00:00+00:00,1h,522.6332
2026-09-18 12:00:00+00:00,2h,578.7484
2026-09-18 13:00:00+00:00,3h,538.81903
2026-09-18 14:00:00+00:00,4h,439.90143
2026-09-18 15:00:00+00:00,5h,448.24146
2026-09-18 16:00:00+00:00,6h,567.63605
2026-09-18 17:00:00+00:00,7h,493.47653
2026-09-18 18:00:00+00:00,8h,487.3035
2026-09-18 19:00:00+00:00,9h,507.42383
2026-09-18 20:00:00+00:00,10h,528.4908
2026-09-18 21:00:00+00:00,11h,527.20514
2026-09-18 22:00:00+00:00,12h,497.2533
2026-09-18 23:00:00+00:00,13h,445.23157
2026-09-19 00:00:00+00:00,14h,455.12622
2026-09-19 01:00:00+00:00,15h,428.11203
2026-09-19 02:00:00+00:00,16h,390.4096
2026-09-19 03:00:00+00:00,17h,362.23947
2026-09-19 04:00:00+00:00,18h,360.8809
2026-09-19 05:00:00+00:00,19h,319.3984
2026-09-19 06:00:00+00:00,20h,304.33517
2026-09-19 07:00:00+00:00,21h,280.37967
2026-09-19 08:00:00+00:00,22h,260.2407
2026-09-19 09:00:00+00:00,23h,298.3498
2026-09-19 10:00:00+00:00,24h,353.42072
