horizon,RMSE_XGB,MAPE_XGB,RMSE_Baseline,MAPE_Baseline
1,11.708999302329584,3.308924396896698,107.26464929321887,29.96875112877328
2,23.81807338949121,6.922164057873349,119.02254610438212,35.120154812061855
3,34.53171814144574,10.187583563338052,133.58999171709678,41.49659332261528
4,41.9296501617405,12.44570434584538,148.80464038958175,48.371741320980064
5,48.03439405063923,14.366350948955859,163.4633578450409,55.29971793998026
6,55.389112002534645,17.04926094479658,176.92735158715135,61.846614804654706
7,59.8786459691465,18.25041671847749,188.8040441864592,67.72161615759784
8,64.38998504730594,19.59973884683774,198.83147171050496,72.54707800997456
9,68.81550254899918,21.058926934588392,206.82928978495596,76.28404081078891
10,72.9499134688075,22.56977323726887,212.68839990507448,78.74624916623222
11,75.67425902626623,23.837479105449948,216.33440807352758,80.01016597615866
12,78.73496108419505,24.72445383730086,217.72820713785958,80.18592395252071
13,80.4688656968245,26.460464738004823,216.86398799584222,79.41168575239482
14,85.12582134159832,27.07706139059084,213.78466360196325,77.75651520556531
15,84.37847101926869,26.466370201609386,208.54920358938347,75.26206691677845
16,85.54705681152731,28.53617955718921,201.2512460730001,71.82066223585711
17,86.08255255157371,28.78653392584412,192.05765416783052,67.48286447941719
18,86.32782468726937,27.68137399026579,181.22327780015456,62.39560617472547
19,86.53637620144248,28.772218655039538,169.13055138960362,56.73543674535721
20,87.40582883241287,29.42443722526175,156.29454416150352,50.78708724128459
21,87.63977758186746,29.132658141765898,143.50249249945756,44.84281876351999
22,87.00374692010995,28.22258749077568,132.04432554049546,39.43648015381496
23,86.01803135971299,27.35494308309812,123.9018111199951,35.592236081052036
24,86.32062392679649,27.29032659832771,121.21615093225032,34.4662593899335
